iter	Passed	Remaining
0	0	67
1	1	62
2	1	57
3	2	53
4	2	52
5	3	51
6	3	50
7	4	50
8	4	49
9	5	49
10	6	49
11	6	48
12	7	47
13	7	47
14	8	46
15	8	45
16	9	45
17	9	44
18	10	43
19	10	42
20	11	41
21	11	41
22	12	40
23	12	40
24	13	39
25	13	38
26	14	38
27	14	37
28	15	36
29	15	36
30	15	35
31	16	35
32	16	34
33	17	33
34	17	33
35	18	32
36	19	32
37	19	31
38	20	31
39	20	30
40	21	30
41	21	29
42	21	28
43	22	28
44	22	27
45	23	27
46	23	26
47	24	26
48	25	26
49	25	25
50	26	25
51	26	24
52	27	24
53	27	23
54	27	22
55	28	22
56	28	21
57	29	21
58	29	20
59	30	20
60	31	19
61	31	19
62	32	18
63	32	18
64	33	17
65	33	17
66	34	16
67	34	16
68	35	15
69	36	15
70	36	14
71	37	14
72	37	13
73	38	13
74	38	12
75	39	12
76	39	11
77	40	11
78	40	10
79	41	10
80	41	9
81	41	9
82	42	8
83	42	8
84	43	7
85	43	7
86	44	6
87	45	6
88	45	5
89	46	5
90	46	4
91	47	4
92	48	3
93	48	3
94	49	2
95	50	2
96	50	1
97	51	1
98	51	0
99	52	0
