iter	Passed	Remaining
0	136	136264
1	137	68424
2	137	45749
3	138	34395
4	138	27580
5	139	23045
6	139	19809
7	140	17374
8	140	15478
9	141	13961
10	141	12748
11	142	11716
12	142	10840
13	143	10088
14	143	9439
15	144	8874
16	144	8370
17	145	7923
18	145	7522
19	146	7160
20	146	6833
21	147	6539
22	147	6271
23	148	6024
24	148	5796
25	149	5584
26	149	5388
27	149	5206
28	150	5037
29	150	4878
30	151	4731
31	151	4592
32	152	4462
33	152	4339
34	153	4224
35	153	4116
36	154	4013
37	154	3916
38	155	3822
39	155	3734
40	156	3650
41	156	3570
42	157	3494
43	157	3422
44	157	3352
45	158	3286
46	158	3221
47	160	3174
48	160	3117
49	161	3061
50	161	3010
51	162	2957
52	162	2907
53	163	2858
54	163	2814
55	164	2768
56	164	2729
57	165	2690
58	166	2651
59	166	2612
60	167	2573
61	167	2536
62	168	2501
63	168	2466
64	169	2432
65	169	2399
66	170	2367
67	170	2336
68	170	2306
69	171	2278
70	171	2249
71	172	2222
72	173	2201
73	173	2176
74	174	2151
75	175	2127
76	175	2104
77	176	2080
78	176	2057
79	177	2038
80	177	2018
81	178	1997
82	178	1974
83	179	1954
84	179	1934
85	180	1914
86	180	1895
87	181	1876
88	181	1858
89	181	1840
90	182	1822
91	182	1805
92	183	1789
93	184	1773
94	184	1757
95	185	1742
96	185	1726
97	186	1713
98	186	1698
99	187	1684
100	187	1670
101	188	1655
102	188	1642
103	189	1631
104	189	1618
105	190	1606
106	190	1593
107	191	1580
108	191	1567
109	192	1555
110	192	1543
111	193	1532
112	193	1520
113	194	1508
114	194	1497
115	195	1486
116	195	1475
117	196	1465
118	196	1455
119	197	1445
120	197	1435
121	197	1424
122	198	1414
123	198	1404
124	199	1395
125	199	1386
126	200	1376
127	200	1367
128	201	1358
129	201	1350
130	202	1342
131	202	1333
132	203	1325
133	203	1316
134	204	1308
135	204	1300
136	205	1292
137	205	1284
138	206	1276
139	206	1268
140	206	1260
141	207	1252
142	207	1245
143	208	1238
144	208	1231
145	209	1224
146	209	1217
147	210	1210
148	210	1203
149	211	1196
150	211	1190
151	212	1183
152	212	1177
153	213	1170
154	213	1164
155	214	1159
156	214	1153
157	215	1147
158	215	1141
159	216	1135
160	216	1128
161	217	1123
162	217	1117
163	218	1111
164	218	1105
165	218	1100
166	219	1094
167	219	1088
168	220	1084
169	221	1079
170	221	1073
171	222	1068
172	222	1063
173	223	1058
174	223	1053
175	224	1048
176	224	1043
177	224	1038
178	225	1033
179	225	1028
180	226	1024
181	226	1019
182	227	1015
183	228	1011
184	228	1007
185	229	1002
186	229	998
187	230	994
188	230	989
189	231	985
190	231	981
191	232	977
192	232	973
193	233	969
194	233	965
195	234	961
196	234	956
197	235	952
198	235	948
199	236	944
200	236	940
201	237	936
202	237	932
203	238	928
204	238	924
205	239	921
206	239	917
207	240	915
208	240	911
209	241	908
210	241	904
211	242	901
212	242	897
213	243	893
214	243	890
215	244	886
216	244	883
217	245	879
218	245	876
219	246	873
220	246	869
221	247	866
222	247	863
223	248	860
224	248	856
225	249	853
226	249	850
227	250	847
228	250	843
229	251	840
230	251	837
231	252	834
232	252	831
233	253	828
234	253	825
235	254	822
236	254	819
237	254	816
238	255	813
239	256	810
240	256	807
241	257	805
242	257	802
243	258	800
244	258	797
245	259	794
246	259	791
247	260	788
248	260	785
249	261	783
250	261	780
251	261	777
252	262	774
253	262	771
254	263	769
255	263	766
256	264	764
257	264	761
258	265	759
259	265	756
260	266	754
261	266	751
262	267	748
263	267	746
264	268	743
265	268	741
266	269	738
267	269	736
268	270	734
269	270	732
270	271	729
271	271	727
272	272	725
273	272	722
274	273	720
275	273	717
276	274	715
277	274	713
278	275	710
279	275	708
280	276	706
281	276	704
282	277	702
283	277	699
284	278	697
285	278	695
286	279	693
287	279	690
288	279	688
289	280	686
290	280	684
291	281	682
292	281	679
293	282	677
294	282	675
295	283	674
296	283	672
297	284	670
298	284	667
299	285	665
300	285	663
301	286	661
302	286	659
303	287	657
304	287	655
305	288	653
306	288	651
307	289	649
308	289	648
309	290	646
310	290	644
311	291	642
312	291	640
313	292	638
314	292	636
315	293	634
316	293	632
317	294	630
318	294	629
319	295	627
320	295	625
321	296	624
322	297	622
323	297	620
324	298	619
325	298	617
326	299	615
327	299	613
328	299	611
329	300	610
330	301	608
331	301	607
332	302	605
333	302	604
334	303	602
335	303	600
336	304	598
337	304	597
338	305	595
339	306	594
340	306	592
341	307	591
342	307	589
343	308	587
344	308	586
345	309	584
346	309	583
347	310	582
348	311	580
349	311	579
350	312	577
351	312	576
352	313	574
353	314	573
354	314	571
355	315	569
356	315	568
357	316	567
358	316	565
359	317	564
360	317	562
361	318	560
362	318	559
363	319	557
364	319	556
365	320	554
366	320	553
367	321	551
368	321	550
369	322	548
370	322	547
371	323	546
372	324	545
373	324	543
374	325	542
375	326	541
